_id,Id_NIL,NIL,Titolo di studio,Valori
223,50,Tortona  ,Diploma di scuola secondaria superiore,4440
224,51,Washington  ,Diploma di scuola secondaria superiore,7584
225,52,Bande Nere  ,Diploma di scuola secondaria superiore,13985
226,53,Lorenteggio  ,Diploma di scuola secondaria superiore,3821
227,54,Muggiano  ,Diploma di scuola secondaria superiore,1005
228,55,Baggio  ,Diploma di scuola secondaria superiore,7916
229,56,Forze Armate  ,Diploma di scuola secondaria superiore,6362
230,57,Selinunte  ,Diploma di scuola secondaria superiore,6732
231,58,De Angeli - Monte Rosa  ,Diploma di scuola secondaria superiore,5978
232,59,Tre Torri  ,Diploma di scuola secondaria superiore,392
233,60,S. Siro  ,Diploma di scuola secondaria superiore,3664
234,61,Quarto Cagnino  ,Diploma di scuola secondaria superiore,3403
235,62,Quinto Romano  ,Diploma di scuola secondaria superiore,1513
236,63,Figino  ,Diploma di scuola secondaria superiore,523
237,64,Trenno  ,Diploma di scuola secondaria superiore,1514
238,65,Gallaratese  ,Diploma di scuola secondaria superiore,9701
239,66,QT 8,Diploma di scuola secondaria superiore,1309
240,67,Portello  ,Diploma di scuola secondaria superiore,2308
241,68,Pagano  ,Diploma di scuola secondaria superiore,4342
242,69,Sarpi  ,Diploma di scuola secondaria superiore,7981
243,70,Ghisolfa  ,Diploma di scuola secondaria superiore,5408
244,71,Villapizzone  ,Diploma di scuola secondaria superiore,11056
245,72,Maggiore - Musocco  ,Diploma di scuola secondaria superiore,1672
246,73,Cascina Triulza - Expo  ,Diploma di scuola secondaria superiore,70
247,74,Sacco  ,Diploma di scuola secondaria superiore,93
248,75,Stephenson  ,Diploma di scuola secondaria superiore,15
249,76,Quarto Oggiaro  ,Diploma di scuola secondaria superiore,7455
250,77,Bovisa  ,Diploma di scuola secondaria superiore,3561
251,78,Farini  ,Diploma di scuola secondaria superiore,1063
252,79,Dergano  ,Diploma di scuola secondaria superiore,6074
253,80,Affori  ,Diploma di scuola secondaria superiore,6737
254,81,Bovisasca  ,Diploma di scuola secondaria superiore,2153
255,82,Comasina  ,Diploma di scuola secondaria superiore,2602
256,83,Bruzzano  ,Diploma di scuola secondaria superiore,3740
257,84,Parco Nord  ,Diploma di scuola secondaria superiore,37
258,85,Parco delle Abbazie  ,Diploma di scuola secondaria superiore,79
259,86,Parco dei Navigli  ,Diploma di scuola secondaria superiore,86
260,87,Parco Agricolo Sud  ,Diploma di scuola secondaria superiore,55
261,88,Parco Bosco in Citta'  ,Diploma di scuola secondaria superiore,128
262,1,Duomo  ,Titoli universitari o para-universitari,6657
263,2,Brera  ,Titoli universitari o para-universitari,6726
264,3,Giardini Porta Venezia  ,Titoli universitari o para-universitari,19
265,4,Guastalla  ,Titoli universitari o para-universitari,5820
266,5,Vigentina  ,Titoli universitari o para-universitari,4921
267,6,Ticinese  ,Titoli universitari o para-universitari,6532
268,7,Magenta - S. Vittore  ,Titoli universitari o para-universitari,6815
269,9,Garibaldi Repubblica  ,Titoli universitari o para-universitari,1497
270,10,Centrale  ,Titoli universitari o para-universitari,4808
271,11,Isola  ,Titoli universitari o para-universitari,5057
272,12,Maciachini - Maggiolina  ,Titoli universitari o para-universitari,5719
273,13,Greco  ,Titoli universitari o para-universitari,2771
274,14,Niguarda - Ca Granda ,Titoli universitari o para-universitari,4138
275,15,Bicocca  ,Titoli universitari o para-universitari,1402
276,16,Viale Monza  ,Titoli universitari o para-universitari,4044
277,17,Adriano  ,Titoli universitari o para-universitari,1755
278,18,Parco Lambro - Cimiano  ,Titoli universitari o para-universitari,3629
279,19,Padova  ,Titoli universitari o para-universitari,4360
280,20,Loreto  ,Titoli universitari o para-universitari,7967
281,21,Buenos Aires - Venezia  ,Titoli universitari o para-universitari,19849
282,22,Citt_tudi  ,Titoli universitari o para-universitari,10123
283,23,Lambrate  ,Titoli universitari o para-universitari,1747
284,24,Parco Forlanini - Ortica  ,Titoli universitari o para-universitari,138
285,25,Corsica  ,Titoli universitari o para-universitari,4922
286,26,XXII Marzo  ,Titoli universitari o para-universitari,9202
287,27,Porta Romana  ,Titoli universitari o para-universitari,5244
288,28,Umbria - Molise  ,Titoli universitari o para-universitari,4503
289,29,Ortomercato  ,Titoli universitari o para-universitari,481
290,30,Mecenate  ,Titoli universitari o para-universitari,2289
291,31,Parco Monlu Ponte Lambro  ,Titoli universitari o para-universitari,290
292,32,Triulzo Superiore  ,Titoli universitari o para-universitari,165
293,33,Rogoredo  ,Titoli universitari o para-universitari,1731
294,34,Chiaravalle  ,Titoli universitari o para-universitari,140
295,35,Lodi - Corvetto  ,Titoli universitari o para-universitari,4991
296,36,Scalo Romana  ,Titoli universitari o para-universitari,1374
297,37,Ex OM - Morivione  ,Titoli universitari o para-universitari,1582
298,38,Ripamonti  ,Titoli universitari o para-universitari,2572
299,39,Quintosole  ,Titoli universitari o para-universitari,296
300,40,Ronchetto delle Rane  ,Titoli universitari o para-universitari,70
301,41,Gratosoglio - Ticinello  ,Titoli universitari o para-universitari,1577
302,42,Stadera  ,Titoli universitari o para-universitari,4322
303,43,Tibaldi  ,Titoli universitari o para-universitari,2426
304,44,Navigli  ,Titoli universitari o para-universitari,4481
305,45,S. Cristoforo  ,Titoli universitari o para-universitari,2029
306,46,Barona  ,Titoli universitari o para-universitari,1426
307,47,Cantalupa  ,Titoli universitari o para-universitari,81
308,48,Ronchetto sul Naviglio  ,Titoli universitari o para-universitari,1774
309,49,Giambellino  ,Titoli universitari o para-universitari,4892
310,50,Tortona  ,Titoli universitari o para-universitari,4776
311,51,Washington  ,Titoli universitari o para-universitari,9081
